snap_date,code,close,today_chg,has_vol_resist,body_strength,upper_tail_pct,lower_tail_pct,amt_vs_5ma,vol_3d_decline,above_ma20,pattern,base_chg,vol_ratio,body_held_50pct,disp_hit,next_date,next_day_return,ma5_declining,env_upper_touch,env_lower_low
2026-07-31,002990,9110.0,-4.0,True,-9.44,17.01,2.31,3.01,False,False,C_갭상승털기,30.0,4.06,True,5.5,2026-08-01,,,,
2026-07-31,006340,13000.0,26.0,True,14.04,2.08,12.31,1.18,False,True,A_일반양음양_8일선,16.8,0.54,True,1.9,2026-08-01,,,,
2026-07-31,006660,10790.0,13.3,False,9.32,4.08,8.71,1.32,False,False,B_ADK특_20일선,17.1,0.0,True,-2.4,2026-08-01,,True,False,False
2026-07-31,010120,184800.0,23.0,False,11.53,1.08,10.5,1.58,False,False,A_일반양음양_8일선,17.3,1.32,True,-0.8,2026-08-01,,,,
2026-07-31,010120,184800.0,23.0,False,11.53,1.08,10.5,1.58,False,False,B_ADK특_13일선,17.3,0.0,True,-1.5,2026-08-01,,True,False,False
2026-07-31,028300,30600.0,2.2,True,0.99,1.31,2.94,1.13,False,False,B_ADK특_13일선,30.0,0.0,True,-0.8,2026-08-01,,True,False,False
2026-07-31,037070,6610.0,7.3,True,9.62,3.63,9.08,0.54,False,False,A_일반양음양_5일선,15.2,0.2,True,1.6,2026-08-01,,,,
2026-07-31,037070,6610.0,7.3,True,9.62,3.63,9.08,0.54,False,False,B_ADK특_13일선,15.2,0.0,True,-1.9,2026-08-01,,True,False,False
2026-07-31,039980,4540.0,5.7,True,1.68,8.15,1.98,0.16,True,True,A_일반양음양_3일선,30.0,0.76,True,1.2,2026-08-01,,,,
2026-07-31,042700,214500.0,28.0,False,9.66,1.17,9.93,2.0,False,True,B_ADK특_20일선,29.9,0.0,True,1.1,2026-08-01,,False,False,False
2026-07-31,044340,4825.0,10.9,True,12.87,6.74,14.82,0.59,False,True,A_일반양음양_5일선,29.9,0.69,True,-0.9,2026-08-01,,,,
2026-07-31,066430,2005.0,6.0,True,4.43,2.49,4.24,0.36,True,False,B_ADK특_13일선,29.9,0.0,True,-0.5,2026-08-01,,False,False,False
2026-07-31,067290,1858.0,2.6,True,2.88,9.26,4.25,1.6,False,True,B_ADK특_13일선,30.0,0.0,True,-0.1,2026-08-01,,True,False,False
2026-07-31,100090,12520.0,6.6,True,2.88,1.84,3.35,0.69,False,False,A_일반양음양_5일선,19.6,0.14,True,-1.3,2026-08-01,,,,
2026-07-31,119850,36600.0,23.0,True,7.17,4.1,10.52,1.04,False,True,A_일반양음양_8일선,30.0,0.37,True,0.9,2026-08-01,,,,
2026-07-31,178320,33000.0,18.3,False,7.14,1.52,8.79,1.09,False,False,A_일반양음양_5일선,17.2,0.84,True,1.0,2026-08-01,,,,
2026-07-31,199430,13100.0,11.5,True,7.47,6.64,8.24,0.58,True,True,A_일반양음양_3일선,30.0,2.32,True,-1.5,2026-08-01,,,,
2026-07-31,277810,433000.0,16.1,False,7.98,2.77,8.89,1.25,True,True,B_ADK특_20일선,16.3,0.0,True,0.2,2026-08-01,,False,False,False
2026-07-31,299660,1707.0,1.1,True,7.43,13.71,12.13,0.85,True,True,A_일반양음양_3일선,30.0,2.89,True,-1.0,2026-08-01,,,,
2026-07-31,317400,6400.0,14.9,True,7.56,1.72,10.94,0.68,False,True,A_일반양음양_8일선,27.5,0.13,True,-2.9,2026-08-01,,,,
2026-07-31,322000,112100.0,10.9,False,4.28,0.54,6.69,0.78,True,False,A_일반양음양_5일선,29.7,0.37,True,0.2,2026-08-01,,,,
2026-07-31,413630,3865.0,8.9,True,5.89,5.82,5.56,0.31,False,True,A_일반양음양_5일선,29.9,0.42,True,-1.6,2026-08-01,,,,
2026-07-31,455900,20150.0,5.8,True,3.76,2.48,7.3,1.76,False,True,A_일반양음양_3일선,29.9,19.61,True,1.0,2026-08-01,,,,
2026-07-31,460930,13650.0,5.0,True,1.87,0.81,4.62,0.52,False,True,A_일반양음양_5일선,22.5,0.16,True,1.4,2026-08-01,,,,
2026-07-31,465770,3100.0,7.5,True,9.35,0.32,16.77,0.64,True,True,B_ADK특_20일선,30.0,0.0,True,1.5,2026-08-01,,True,False,False
2026-08-01,002990,9110.0,-4.0,True,-9.44,17.01,2.31,3.01,False,False,C_갭상승털기,30.0,4.06,True,5.5,2026-08-03,-1.43,,,
2026-08-01,006340,13000.0,26.0,True,14.04,2.08,12.31,1.18,False,True,A_일반양음양_8일선,16.8,0.54,True,1.9,2026-08-03,0.85,,,
2026-08-01,006660,10790.0,13.3,False,9.32,4.08,8.71,1.32,False,False,B_ADK특_20일선,17.1,0.0,True,-2.4,2026-08-03,2.04,True,False,False
2026-08-01,010120,184800.0,23.0,False,11.53,1.08,10.5,1.58,False,False,A_일반양음양_8일선,17.3,1.32,True,-0.8,2026-08-03,1.95,,,
2026-08-01,010120,184800.0,23.0,False,11.53,1.08,10.5,1.58,False,False,B_ADK특_13일선,17.3,0.0,True,-1.5,2026-08-03,1.95,True,False,False
2026-08-01,028300,30600.0,2.2,True,0.99,1.31,2.94,1.13,False,False,B_ADK특_13일선,30.0,0.0,True,-0.8,2026-08-03,0.98,True,False,False
2026-08-01,037070,6610.0,7.3,True,9.62,3.63,9.08,0.54,False,False,A_일반양음양_5일선,15.2,0.2,True,1.6,2026-08-03,10.44,,,
2026-08-01,037070,6610.0,7.3,True,9.62,3.63,9.08,0.54,False,False,B_ADK특_13일선,15.2,0.0,True,-1.9,2026-08-03,10.44,True,False,False
2026-08-01,039980,4540.0,5.7,True,1.68,8.15,1.98,0.16,True,True,A_일반양음양_3일선,30.0,0.76,True,1.2,2026-08-03,11.89,,,
2026-08-01,042700,214500.0,28.0,False,9.66,1.17,9.93,2.0,False,True,B_ADK특_20일선,29.9,0.0,True,1.1,2026-08-03,-5.59,False,False,False
2026-08-01,044340,4825.0,10.9,True,12.87,6.74,14.82,0.59,False,True,A_일반양음양_5일선,29.9,0.69,True,-0.9,2026-08-03,21.45,,,
2026-08-01,066430,2005.0,6.0,True,4.43,2.49,4.24,0.36,True,False,B_ADK특_13일선,29.9,0.0,True,-0.5,2026-08-03,4.99,False,False,False
2026-08-01,067290,1858.0,2.6,True,2.88,9.26,4.25,1.6,False,True,B_ADK특_13일선,30.0,0.0,True,-0.1,2026-08-03,4.2,True,False,False
2026-08-01,100090,12520.0,6.6,True,2.88,1.84,3.35,0.69,False,False,A_일반양음양_5일선,19.6,0.14,True,-1.3,2026-08-03,1.04,,,
