일자,종목코드,종목명,증권사,목표가상승률(%),리포트제목,PDF링크
2026-08-07,282330,BGF리테일,LS,26.58,2Q26 Review : 비운의 천재,https://stock.pstatic.net/stock-research/company/16/20260807_company_215517000.pdf
2026-08-07,145020,휴젤,신한투자,17.14,중국 호조가 이끈 어닝서프라이즈,
2026-08-07,033780,KT＆G,다올투자,13.64,,
2026-08-07,033780,KT＆G,키움,13.64,,
2026-08-07,145020,휴젤,키움,13.16,깔끔하잖아 숫자로도 기술적으로도,https://stock.pstatic.net/stock-research/company/39/20260807_company_482314000.pdf
2026-08-07,282330,BGF리테일,한국투자,12.12,2Q26 Review : 비운의 천재,https://stock.pstatic.net/stock-research/company/16/20260807_company_215517000.pdf
2026-08-07,145020,휴젤,DB,11.76,중국이 2분기 캐리,https://stock.pstatic.net/stock-research/company/15/20260807_company_668419000.pdf
2026-08-07,282330,BGF리테일,한화투자,10.53,2Q26 Review : 비운의 천재,https://stock.pstatic.net/stock-research/company/16/20260807_company_215517000.pdf
2026-08-07,032640,LG유플러스,신영,10.53,"2Q 리뷰 - 어닝 서프라이즈, 주가 한 단계 높..",https://stock.pstatic.net/stock-research/company/57/20260807_company_110461000.pdf
2026-08-07,282330,BGF리테일,신한투자,9.09,편의점으로 바통 터치,
2026-08-07,066970,엘앤에프,IBK투자,8.33,시작되는 LFP 공급,https://stock.pstatic.net/stock-research/company/40/20260807_company_912875000.pdf
2026-08-07,453340,현대그린푸드,흥국,8.0,,
2026-08-07,451800,한화리츠,삼성,7.02,,
2026-08-07,282330,BGF리테일,NH투자,5.88,2Q26 Review : 비운의 천재,https://stock.pstatic.net/stock-research/company/16/20260807_company_215517000.pdf
2026-08-07,282330,BGF리테일,키움,5.88,2분기도 시장 기대치 상회,https://stock.pstatic.net/stock-research/company/39/20260807_company_790437000.pdf
2026-08-07,011760,현대코퍼레이션,신한투자,5.71,종합상사의 경쟁력이 증명되는 구간,
2026-08-07,282330,BGF리테일,삼성,5.71,2Q26 Review : 비운의 천재,https://stock.pstatic.net/stock-research/company/16/20260807_company_215517000.pdf
2026-08-07,282330,BGF리테일,흥국,5.56,2Q26 Review : 비운의 천재,https://stock.pstatic.net/stock-research/company/16/20260807_company_215517000.pdf
2026-08-07,145020,휴젤,삼성,5.41,중국이 2분기 캐리,https://stock.pstatic.net/stock-research/company/15/20260807_company_668419000.pdf
2026-08-07,033780,KT＆G,신한투자,4.55,,
2026-08-07,033780,KT＆G,NH투자,4.55,,
2026-08-07,282330,BGF리테일,하나,4.24,확대되는 외국인 인바운드 효과,https://stock.pstatic.net/stock-research/company/57/20260807_company_205297000.pdf
2026-08-07,033780,KT＆G,현대차,4.17,,
2026-08-07,033780,KT＆G,DS투자,4.17,,
2026-08-07,145020,휴젤,다올투자,2.38,중국이 2분기 캐리,https://stock.pstatic.net/stock-research/company/15/20260807_company_668419000.pdf
