sector,keyword,last_hit_date,total_hit_count,avg_similarity_score
경제 일반,대체거래소 NXT 출범,,0,0.0
경제 일반,증시 개장 시간 연장,,0,0.0
경제 일반,코스피 코스닥 마감 시황,2026-07-30,31,0.61
경제 일반,원 달러 환율 마감,,0,0.0
경제 일반,주식 거래세율 인상,,0,0.0
경제 일반,금투세 폐지 논란,,0,0.0
경제 일반,국민연금 자산 운용 계획,,0,0.0
경제 일반,국내 경기 동향,2026-07-29,1,0.3
경제 일반,금리 변동성 우려,2026-07-30,9,0.6
경제 일반,코스닥 양극화 심화,2026-07-30,1,0.31
경제 일반,외국인 vs 개인 수급 엇박자,,0,0.0
경제 일반,MSCI 선진국지수 편입 가능성,2026-06-22,1,0.65
경제 일반,레버리지 ETF 투자 증가,2026-07-30,16,0.64
경제 일반,WGBI 세계국채지수 편입,,0,0.0
경제 일반,국채 외국인 자금 유입,2026-07-29,2,0.49
경제 일반,중국 자본 이탈 및 차이나 런,,0,0.0
경제 일반,환율 급등락 리스크,,0,0.0
경제 일반,거시 경제 변동성,2026-07-29,2,0.45
부동산,강남 아파트 가격 추이,2026-07-30,5,0.6
부동산,아파트 재건축 열기,2026-07-28,2,0.47
부동산,수도권 전셋값 상승,2026-07-30,34,0.65
부동산,아파트 매매가 양극화,2026-07-30,18,0.65
부동산,지방 미분양 사태,2026-07-30,1,0.3
부동산,부동산 규제 해제,2026-07-29,3,0.53
부동산,부동산 PF 연체율,2026-07-30,1,0.23
부동산,금융권 우발채무 리스크,2026-07-30,4,0.56
부동산,부실시공 시공사 등록말소,,0,0.0
부동산,건설사 영업정지 처분,2026-07-30,1,0.24
미중패권전쟁,트럼프 대중 관세,,0,0.0
미중패권전쟁,미국 대중 무역 규제,2026-07-30,10,0.6
미중패권전쟁,중국 관세 보복,,0,0.0
미중패권전쟁,중국 희토류 수출 통제,2026-07-30,1,0.32
미중패권전쟁,엔비디아 중국 우회 수출,2026-07-29,1,0.3
미중패권전쟁,대만 해협 갈등,2026-07-29,1,0.34
미중패권전쟁,미중 군사 외교 갈등,2026-07-30,1,0.3
미중패권전쟁,배터리 광물 우회 수출,,0,0.0
미중패권전쟁,대중 관세 장벽,,0,0.0
미중패권전쟁,대만 독립,2026-07-29,2,0.65
미중패권전쟁,중국 경제적 압박,,0,0.0
미중패권전쟁,G7 핵심 광물 공급망,,0,0.0
미중패권전쟁,중국 군비 확장,,0,0.0
미중패권전쟁,남중국해 영유권 분쟁,,0,0.0
미중패권전쟁,남중국해 선박 충돌,,0,0.0
미중패권전쟁,한중 외교적 우려 전달,,0,0.0
국제 - 미국,미국 소비자물가 CPI,,0,0.0
국제 - 미국,미국 PCE 인플레이션,,0,0.0
국제 - 미국,미국 GDP 성장률,2026-07-30,3,0.49
국제 - 미국,미국 ADP 취업 경제지표,,0,0.0
국제 - 미국,미국 연준 금리 결정,2026-07-30,39,0.68
국제 - 미국,연준 점도표 FOMC,2026-07-30,5,0.62
국제 - 미국,미국 대선 정치 기조,,0,0.0
국제 - 미국,도널드 트럼프 대선 정책,,0,0.0
국제 - 미국,뉴욕 증시 시황,,0,0.0
국제 - 미국,빅테크 자사주 매입,2026-07-29,5,0.48
국제 - 미국,달러 강세,2026-07-29,15,0.63
국제 - 유럽,ECB 중앙은행 포럼,2026-07-01,3,0.65
국제 - 유럽,영국 실업률 하락,,0,0.0
국제 - 유럽,영국 기준금리 동결,2026-07-30,14,0.72
국제 - 유럽,유럽 인플레이션 및 경제 지표,2026-07-30,4,0.6
